Summary,Custom field (Additional Information),Custom field (Hospital Name),IJ Review,Issue Type,Reporter,Custom field (Can your hospital meet the following minimum emergency response times for each patient),Custom field (CCN),Custom field (Can your hospital provide acute care services at home),Custom field (Does your hospital meet the minimum required frequency of personnel visits),Custom field (Has your hospital provided acute hospital care at home services to at least 25 patients since the program's inception),"Custom field (Will you agree to establish a local safety committee review (similar to a Mortality and Morbidity team, but dedicated to this program) which will review the metrics listed above prior to weekly submission to CMS? )",Custom field (Will you agree to limit Acute Hospital Care at Home to patients who can be safely treated in their homes using a published set of selection criteria or one that has been developed internally based on your experience),"Custom field (Will you agree to track the following 3 metrics and report them to the Chief Medical Officer, Chief Nursing Officer, or Chief Executive Officer of your hospital? CMS will contact this executive directly with any concerns about reporting or quality`)","Custom field (Will you agree to use InterQual, Milliman, or another accepted patient leveling process to ensure that only patients requiring an acute level of care are treated by this hospital?)",Custom field (City),Custom field (Hospital Address 1),Custom field (Hospital Address 2),Custom field (Hospital Phone),Custom field (ZIP Code),Custom field (State),Created,Status
CCN 230005: Acute Hospital Care at Home Waiver Request,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including  ProMedica Charles and Virginia Hickman Hospital and ProMedica Toledo Hospital discussed below.  ProMedica Charles and Virginia Hickman Hospital (PHH) is a community hospital located in Adrian, Michigan, and part of the same acute care system as ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PHH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",ProMedica Charles and Virginia Hickman Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,230005,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Adrian,5640 N. Adrian Highway,,517-577-0000,49221,MI,Jan/06/2022 9:03 PM,No Action Needed
CCN 361328: Acute Hospital Care at Home Waiver Request,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Defiance Regional Hospital and ProMedica Toledo  Hospital discussed below. Defiance Hospital, Inc., doing business as ProMedica Defiance Regional Hospital (PDRH) is a community hospital located in Defiance, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PDRH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",ProMedica Defiance Regional Hospital ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,361328,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Defiance,1200 Ralston Ave.,,419-783-6955,43512,OH,Jan/06/2022 8:57 PM,No Action Needed
CCN 361318: Acute Hospital Care at Home Waiver Request,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Fostoria Community Hospital and ProMedica Toledo Hospital discussed below. Fostoria Hospital Association, doing business as ProMedica Fostoria Community Hospital (PFCH) is a community hospital located in Fostoria, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PFCH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",ProMedica Fostoria Community Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,361318,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fostoria,501 Van Buren St.,,419-435-7734,44830,OH,Jan/06/2022 8:51 PM,No Action Needed
CCN 330125: Acute Hospital Care at Home Waiver Request,,Rochester General Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,330125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rochester,1425 Portland Avenue,,5859224000,14621,NY,Dec/15/2021 11:19 AM,No Action Needed
CCN 390046: Acute Hospital Care at Home Waiver Request,,WellSpan York Hospital ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390046,Yes,Yes,Yes,Yes,Yes,Yes,Yes,York ,1001 South George Street ,,,17405,PA,Dec/06/2021 5:07 PM,No Action Needed
CCN 390160: Acute Hospital Care at Home Waiver Request,,Canonsburg Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390160,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Canonsburg,100 Medical Blvd.,,7248735879,15317,PA,Oct/22/2021 2:06 PM,No Action Needed
CCN 440176: Acute Hospital Care at Home Waiver Request,Successful management of COVID patients for several months,Indian Path Community Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440176,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Kingsport,2000 Brookside Dr,,,37660,TN,Sep/30/2021 4:28 PM,Approved
CCN 440012: Acute Hospital Care at Home Waiver Request,Successfully managed COVID patients for several months.,Bristol Regional Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440012,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bristol,1 Medical Park Blvd.,,,37620,TN,Sep/28/2021 3:02 PM,Approved
CCN 440063: Acute Hospital Care at Home Waiver Request,Successful management of COVID patients for several months.,Johnson City Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440063,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Johnson City,400 N State of Franklin Rd,,,37604,TN,Sep/28/2021 2:57 PM,Approved
CCN 440017: Acute Hospital Care at Home Waiver Request,Successful management of COVID patients at home for several months.,Holston Valley Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440017,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Kingsport,130 W Ravine Rd,,,37660,TN,Sep/28/2021 2:48 PM,Approved
CCN 340145: Acute Hospital Care at Home Waiver Request,,Atrium Health Lincoln,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340145,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lincolnton,433 McAlister Rd,,980-212-2000,28092,NC,Sep/10/2021 3:15 PM,Approved
CCN 340021: Acute Hospital Care at Home Waiver Request,,Atrium Health Cleveland,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340021,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Shelby,201 E. Grover St,,980-487-3000,28150,NC,Sep/10/2021 3:12 PM,Approved
CCN 220100: Acute Hospital Care at Home Waiver Request,,South Shore Health,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,220100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Weymouth,55 Fogg Road,,,2190,MA,Aug/05/2021 2:46 PM,Approved
CCN 330136: Acute Hospital Care at Home Waiver Request,,The Mary Imogene Bassett Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,330136,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cooperstown,1 Atwell Road,,6075473100,13326,NY,Jun/30/2021 8:59 AM,No Action Needed
CCN 330241: Acute Hospital Care at Home Waiver Request,,SUNY Health Science Center at Syracuse,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,330241,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Syracuse,750 East Adams Street,,315-464-4223,13210,NY,Jun/23/2021 3:31 PM,No Action Needed
CCN 220063: Acute Hospital Care at Home Waiver Request,,Lowell General Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,220063,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lowell,295 Varnum Ave,ConnectCare Hub,9789376000,1854,MA,May/28/2021 3:26 PM,No Action Needed
CCN 050503: Acute Hospital Care at Home Waiver Request,,Scripps Memorial Hospital Encinitas,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50503,Yes,Yes,Yes,Yes,Yes,Yes,Yes,encinitas,354 santa fe drive,,760-633-6501,92024,CA,May/27/2021 2:11 PM,Approved
