Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
Atrium Health Lincoln,3,2,0,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:25 AM,Measures Submitted
Atrium Health Cleveland,15,6,1,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:23 AM,Measures Submitted
Atrium Health University,7,5,2,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:20 AM,Measures Submitted
Atrium Health Union,3,3,0,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:17 AM,Measures Submitted
Atrium Health Pineville,12,0,0,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:15 AM,Measures Submitted
Carolinas Medical Center,13,16,3,0,0,0,0,2,0,Yes,340113,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Carolinas Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:12 AM,Measures Submitted
Atrium Health Cabarrus,24,14,3,0,0,0,0,1,0,No,340001,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2023-08-01 - 2023-08-31,Sep/06/2023 10:09 AM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 5:17 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 5:16 PM,Measures Submitted
Regions Hospital,3,0,0,0,0,0,0,0,0,Yes,240106,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 2:50 PM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 2:47 PM,Measures Submitted
Vanderbilt University Medical Center,13,1,1,0,0,0,4,0,0,Yes,440039,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,High,ess_service_account,Vanderbilt University Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 11:21 AM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 9:27 AM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 9:27 AM,Measures Submitted
Mount Sinai Hospital,8,4,2,0,0,0,0,0,0,Yes,330024,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 9:26 AM,Measures Submitted
Greenville Memorial Hospital,7,0,0,0,0,0,1,0,0,Yes,420078,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/05/2023 9:17 AM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/02/2023 2:05 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/02/2023 2:04 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/02/2023 2:03 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/02/2023 2:02 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/02/2023 2:02 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/02/2023 2:01 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/02/2023 2:00 PM,Measures Submitted
OSF Saint Francis Medical Center,20,4,2,2,2,2,1,0,0,Yes,140067,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Critical,ess_service_account,OSF Saint Francis Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 3:22 PM,Measures Submitted
Marshfield Medical Center-Marshfield,3,0,0,0,0,0,1,0,0,Yes,520037,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,High,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 3:07 PM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 2:36 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,0,0,0,0,0,0,0,0,0,No,340069,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 2:00 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,0,0,0,0,0,0,0,0,0,No,340173,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 1:59 PM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 11:26 AM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 11:21 AM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 11:20 AM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 11:20 AM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 11:19 AM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Aug/01/2023 12:00 AM,Aug/31/2023 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2023-08-01 - 2023-08-31,Sep/01/2023 11:11 AM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2023-07-01 - 2023-07-31,Aug/10/2023 6:00 PM,Measures Submitted
Mayo Clinic Florida,66,0,0,0,0,0,4,0,0,Yes,100151,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2023-07-01 - 2023-07-31,Aug/07/2023 3:21 PM,Measures Submitted
Methodist Hospital,3,0,0,0,0,0,1,0,0,Yes,240053,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,High,ess_service_account,Methodist Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/07/2023 12:09 PM,Measures Submitted
Regions Hospital,1,0,0,0,0,0,0,0,0,Yes,240106,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/07/2023 9:46 AM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2023-07-01 - 2023-07-31,Aug/07/2023 9:24 AM,Measures Submitted
Vanderbilt University Medical Center,10,1,1,0,0,0,1,0,0,Yes,440039,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Vanderbilt University Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/06/2023 9:29 PM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/06/2023 6:22 PM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/06/2023 6:20 PM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/06/2023 6:19 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/06/2023 6:18 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,17,2,2,0,0,0,0,0,0,Yes,520070,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2023-07-01 - 2023-07-31,Aug/06/2023 4:58 PM,Measures Submitted
Massachusetts General Hospital,25,12,7,0,0,0,4,1,1,Yes,220071,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 4:05 PM,Measures Submitted
Atrium Health Lincoln,3,3,1,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 1:21 PM,Measures Submitted
Atrium Health Cleveland,11,10,1,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 1:19 PM,Measures Submitted
Atrium Health University,7,7,1,0,1,0,0,1,0,Yes,340166,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Critical,ess_service_account,Atrium Health University: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 1:16 PM,Measures Submitted
Atrium Health Union,4,0,0,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 1:13 PM,Measures Submitted
Atrium Health Pineville,6,1,0,0,0,0,0,1,0,Yes,340098,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 1:11 PM,Measures Submitted
Carolinas Medical Center,23,23,7,0,0,0,2,5,1,Yes,340113,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,High,ess_service_account,Carolinas Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 1:08 PM,Measures Submitted
Atrium Health Cabarrus,16,9,3,0,0,0,0,1,0,Yes,340001,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2023-07-01 - 2023-07-31,Aug/04/2023 1:05 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/03/2023 1:57 PM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/03/2023 1:57 PM,Measures Submitted
Mount Sinai Hospital,9,3,0,0,0,0,1,1,0,Yes,330024,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,High,ess_service_account,Mount Sinai Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/03/2023 1:56 PM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2023-07-01 - 2023-07-31,Aug/03/2023 12:53 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/03/2023 12:52 PM,Measures Submitted
Brigham and Women's Hospital,32,11,7,0,0,0,2,1,1,Yes,220110,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/03/2023 9:50 AM,Measures Submitted
UnityPoint Health System,8,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2023-07-01 - 2023-07-31,Aug/02/2023 2:37 PM,Measures Submitted
OSF Saint Francis Medical Center,14,3,1,1,1,1,3,0,0,Yes,140067,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Critical,ess_service_account,OSF Saint Francis Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/02/2023 1:18 PM,Measures Submitted
Greenville Memorial Hospital,3,0,0,0,0,0,0,0,0,Yes,420078,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/02/2023 11:25 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/02/2023 10:31 AM,Measures Submitted
Marshfield Medical Center-Marshfield,0,0,0,0,0,0,0,0,0,No,520037,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 2:19 PM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 12:31 PM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 12:31 PM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 12:31 PM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 12:30 PM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 11:28 AM,Measures Submitted
