ccn,hospital_name,hospital_address_1,hospital_address_2,hospital_city,hospital_state,hospital_zip,created,status,hospital_phone,resp_agree_to_committee,resp_agree_to_limits,resp_agree_to_metrics,resp_agree_to_process,resp_can_provide,resp_min_response_times,resp_min_visit_freq,resp_provided_25,additional_information,ij_review,issue_type,reporter,summary
260001,Mercy Hospital Joplin,100 Mercy Way,,Joplin,MO,64804,2022-12-22 14:55:00,IJ Review,417-556-2459,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260001: Acute Hospital Care at Home Waiver Request
40010,Mercy Hospital Rogers,2710 Rife Medical Lane,,Rogers,AR,72758,2022-12-22 14:44:00,IJ Review,479-338-2267,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 040010: Acute Hospital Care at Home Waiver Request
40062,Mercy Hospital Fort Smith,7301 Rogers Avenue,,Fort Smith,AR,72917,2022-12-22 14:34:00,IJ Review,479-314-6104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 040062: Acute Hospital Care at Home Waiver Request
260077,Mercy Hospital South,10010 kennerly Road,,St Louis,MO,63128,2022-12-21 15:46:00,IJ Review,314-525-1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260077: Acute Hospital Care at Home Waiver Request
260065,Mercy Hospital Springfield,1235 E. Cherokee,,Springfield,MO,65804,2022-12-21 15:31:00,IJ Review,314-579-6100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260065: Acute Hospital Care at Home Waiver Request
460058,Riverton Hospital,3741 West 12600 South,,Riverton,UT,84065,2022-07-22 17:36:00,No Action Needed,801-285-4000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 460058: Acute Hospital Care at Home Waiver Request
150162,Franciscan Health Indianapolis ,8111 South Emerson Avenue,,Indianapolis,IN,46237,2022-06-28 16:52:00,No Action Needed,3175282873,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 150162: Acute Hospital Care at Home Waiver Request
240053,Methodist Hospital,6500 Excelsior Boulevard,,Saint Louis Park,MN,55426,2022-01-26 16:39:00,Approved,952-993-5000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 240053: Acute Hospital Care at Home Waiver Request
230058,Munson Healthcare Grayling ,1100 E Michigan Ave.,,Grayling,MI,49738,2022-01-17 14:50:00,IJ Review,989-348-5461,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 230058: Acute Hospital Care at Home Waiver Request
230081,Munson Healthcare Cadillac,400 Hobart St.,,Cadillac,MI,49601-2331,2022-01-17 14:41:00,IJ Review,231-876-7200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 230081: Acute Hospital Care at Home Waiver Request
230005,ProMedica Charles and Virginia Hickman Hospital,5640 N. Adrian Highway,,Adrian,MI,49221,2022-01-06 21:03:00,No Action Needed,517-577-0000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including  ProMedica Charles and Virginia Hickman Hospital and ProMedica Toledo Hospital discussed below.  ProMedica Charles and Virginia Hickman Hospital (PHH) is a community hospital located in Adrian, Michigan, and part of the same acute care system as ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PHH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.","{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 230005: Acute Hospital Care at Home Waiver Request
361328,ProMedica Defiance Regional Hospital ,1200 Ralston Ave.,,Defiance,OH,43512,2022-01-06 20:57:00,No Action Needed,419-783-6955,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Defiance Regional Hospital and ProMedica Toledo  Hospital discussed below. Defiance Hospital, Inc., doing business as ProMedica Defiance Regional Hospital (PDRH) is a community hospital located in Defiance, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PDRH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.","{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 361328: Acute Hospital Care at Home Waiver Request
361318,ProMedica Fostoria Community Hospital,501 Van Buren St.,,Fostoria,OH,44830,2022-01-06 20:51:00,No Action Needed,419-435-7734,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Fostoria Community Hospital and ProMedica Toledo Hospital discussed below. Fostoria Hospital Association, doing business as ProMedica Fostoria Community Hospital (PFCH) is a community hospital located in Fostoria, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PFCH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.","{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 361318: Acute Hospital Care at Home Waiver Request
330125,Rochester General Hospital,1425 Portland Avenue,,Rochester,NY,14621,2021-12-15 11:19:00,No Action Needed,5859224000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 330125: Acute Hospital Care at Home Waiver Request
390046,WellSpan York Hospital ,1001 South George Street ,,York ,PA,17405,2021-12-06 17:07:00,No Action Needed,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 390046: Acute Hospital Care at Home Waiver Request
390160,Canonsburg Hospital,100 Medical Blvd.,,Canonsburg,PA,15317,2021-10-22 14:06:00,No Action Needed,7248735879,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 390160: Acute Hospital Care at Home Waiver Request
440176,Indian Path Community Hospital,2000 Brookside Dr,,Kingsport,TN,37660,2021-09-30 16:28:00,Approved,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successful management of COVID patients for several months,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440176: Acute Hospital Care at Home Waiver Request
440012,Bristol Regional Medical Center,1 Medical Park Blvd.,,Bristol,TN,37620,2021-09-28 15:02:00,Approved,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successfully managed COVID patients for several months.,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440012: Acute Hospital Care at Home Waiver Request
440063,Johnson City Medical Center,400 N State of Franklin Rd,,Johnson City,TN,37604,2021-09-28 14:57:00,Approved,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successful management of COVID patients for several months.,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440063: Acute Hospital Care at Home Waiver Request
440017,Holston Valley Medical Center,130 W Ravine Rd,,Kingsport,TN,37660,2021-09-28 14:48:00,Approved,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successful management of COVID patients at home for several months.,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440017: Acute Hospital Care at Home Waiver Request
340145,Atrium Health Lincoln,433 McAlister Rd,,Lincolnton,NC,28092,2021-09-10 15:15:00,Approved,980-212-2000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340145: Acute Hospital Care at Home Waiver Request
340021,Atrium Health Cleveland,201 E. Grover St,,Shelby,NC,28150,2021-09-10 15:12:00,Approved,980-487-3000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340021: Acute Hospital Care at Home Waiver Request
220100,South Shore Health,55 Fogg Road,,Weymouth,MA,2190,2021-08-05 14:46:00,Approved,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 220100: Acute Hospital Care at Home Waiver Request
330136,The Mary Imogene Bassett Hospital,1 Atwell Road,,Cooperstown,NY,13326,2021-06-30 08:59:00,No Action Needed,6075473100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 330136: Acute Hospital Care at Home Waiver Request
330241,SUNY Health Science Center at Syracuse,750 East Adams Street,,Syracuse,NY,13210,2021-06-23 15:31:00,No Action Needed,315-464-4223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 330241: Acute Hospital Care at Home Waiver Request
220063,Lowell General Hospital,295 Varnum Ave,ConnectCare Hub,Lowell,MA,1854,2021-05-28 15:26:00,No Action Needed,9789376000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 220063: Acute Hospital Care at Home Waiver Request
50503,Scripps Memorial Hospital Encinitas,354 santa fe drive,,encinitas,CA,92024,2021-05-27 14:11:00,Approved,760-633-6501,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 050503: Acute Hospital Care at Home Waiver Request
340166,Atrium Health University,8800 N. Tryon St.,,Charlotte,NC,28262,2021-04-14 16:43:00,Approved,704-863-6000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340166: Acute Hospital Care at Home Waiver Request
340130,Atrium Health Union,600 Hospital Dr. ,,Monroe,NC,28112,2021-04-14 16:40:00,Approved,980-993-3100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340130: Acute Hospital Care at Home Waiver Request
