ccn,hospital_name,hospital_address_1,hospital_address_2,hospital_city,hospital_state,hospital_zip,hospital_phone,resp_agree_to_committee,resp_agree_to_limits,resp_agree_to_metrics,resp_agree_to_process,resp_can_provide,resp_min_response_times,resp_min_visit_freq,resp_provided_25,additional_information,assignee,attesting_email,attesting_name,attesting_telephone,attesting_title,ij_review,issue_type,reporter,summary,poc_email,poc_name,poc_telephone
260001,Mercy Hospital Joplin,100 Mercy Way,,Joplin,MO,64804,417-556-2459,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,5014401948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260001: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948
40010,Mercy Hospital Rogers,2710 Rife Medical Lane,,Rogers,AR,72758,479-338-2267,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 040010: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948
40062,Mercy Hospital Fort Smith,7301 Rogers Avenue,,Fort Smith,AR,72917,479-314-6104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 040062: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948
260077,Mercy Hospital South,10010 kennerly Road,,St Louis,MO,63128,314-525-1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948,Regional Director II- Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260077: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948
260065,Mercy Hospital Springfield,1235 E. Cherokee,,Springfield,MO,65804,314-579-6100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,WRCW1,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948,Regional Director II - Reimbursement,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 260065: Acute Hospital Care at Home Waiver Request,STACIE.FARNAM@MERCY.NET,Stacie Farnam,501-440-1948
460058,Riverton Hospital,3741 West 12600 South,,Riverton,UT,84065,801-285-4000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,todd.neubert@imail.org,Todd Neubert,801-285-2010,Hospital Administrator,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 460058: Acute Hospital Care at Home Waiver Request,todd.neubert@imail.org,Todd Neubert,801-285-2010
150162,Franciscan Health Indianapolis,8111 South Emerson Avenue,,Indianapolis,IN,46237,3175282873,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Eric03101,christopher.doehring@franciscanalliance.org,Christopher Doehring,3175288137,Vice President Medical Affairs ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 150162: Acute Hospital Care at Home Waiver Request,alicia.garver@franciscanalliance.org,Alicia D Garver,3175282873
240053,Methodist Hospital,6500 Excelsior Boulevard,,Saint Louis Park,MN,55426,952-993-5000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Eric03101,jennifer.l.myster@healthpartners.com,Jennifer Myster,952-993-9631,President,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 240053: Acute Hospital Care at Home Waiver Request,john.r.dressen@healthpartners.com,Jack Dressen,952-883-5388
230058,Munson Healthcare Grayling,1100 E Michigan Ave.,,Grayling,MI,49738,989-348-5461,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,aneravetla@mhc.net,Aditya Neravetla,516-673-6996,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 230058: Acute Hospital Care at Home Waiver Request,swilson6@mhc.net,Shari L Wilson,231-935-8432
230081,Munson Healthcare Cadillac,400 Hobart St.,,Cadillac,MI,49601-2331,231-876-7200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,aneravetla@mhc.net,Aditya Neravetla,516-673-6996,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 230081: Acute Hospital Care at Home Waiver Request,swilson6@mhc.net,Shari L Wilson,231-935-8432
230005,ProMedica Charles and Virginia Hickman Hospital,5640 N. Adrian Highway,,Adrian,MI,49221,517-577-0000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including  ProMedica Charles and Virginia Hickman Hospital and ProMedica Toledo Hospital discussed below.  ProMedica Charles and Virginia Hickman Hospital (PHH) is a community hospital located in Adrian, Michigan, and part of the same acute care system as ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PHH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",W5931,Julie.YarochDO@ProMedica.org,Julie Yaroch,517-577-2133,President,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 230005: Acute Hospital Care at Home Waiver Request,Holly.Bristoll@ProMedica.org,Holly Bristoll,567-585-3854
361328,ProMedica Defiance Regional Hospital,1200 Ralston Ave.,,Defiance,OH,43512,419-783-6955,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Defiance Regional Hospital and ProMedica Toledo  Hospital discussed below. Defiance Hospital, Inc., doing business as ProMedica Defiance Regional Hospital (PDRH) is a community hospital located in Defiance, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PDRH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",W5931,Doug.Bush@ProMedica.org,Douglas Bush,419-783-4493,President,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 361328: Acute Hospital Care at Home Waiver Request,Holly.Bristoll@ProMedica.org,Holly Bristoll,567-585-3854
361318,ProMedica Fostoria Community Hospital,501 Van Buren St.,,Fostoria,OH,44830,419-435-7734,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Fostoria Community Hospital and ProMedica Toledo Hospital discussed below. Fostoria Hospital Association, doing business as ProMedica Fostoria Community Hospital (PFCH) is a community hospital located in Fostoria, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PFCH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",W5931,Deana.Sievert@ProMedica.org,Deana Sievert ,419-333-6435,Chief Nursing Officer,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 361318: Acute Hospital Care at Home Waiver Request,Holly.Bristoll@ProMedica.org,Holly Bristoll,567-585-3854
330125,Rochester General Hospital,1425 Portland Avenue,,Rochester,NY,14621,5859224000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Eric03101,Bridgette.Wiefling@rochesterregional.org,Dr. Bridgette Wiefling,585-738-8318,Executive Vice President ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 330125: Acute Hospital Care at Home Waiver Request,Krysta.Harrington@rochesterregional.org,Krysta Harrington,5856980277
390046,WellSpan York Hospital,1001 South George Street ,,York ,PA,17405,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,vdiamond@wellspan.org,Victoria M. Diamond ,9787296586,President,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 390046: Acute Hospital Care at Home Waiver Request,vdiamond@wellspan.org,Victoria Diamond ,9787296586
390160,Canonsburg Hospital,100 Medical Blvd.,,Canonsburg,PA,15317,7248735879,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,thomas.corkery@ahn.org,Thomas B. Corkery,7247466450,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 390160: Acute Hospital Care at Home Waiver Request,thomas.corkery@ahn.org,Thomas B. Corkery,7247466450
440176,Indian Path Community Hospital,2000 Brookside Dr,,Kingsport,TN,37660,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successful management of COVID patients for several months,W5931,mark.wilkinson@balladhealth.org,Mark Wilkinson,4233023139,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440176: Acute Hospital Care at Home Waiver Request,penelope.kyte@balladhealth.org,Penni Kyte,4233023381
440012,Bristol Regional Medical Center,1 Medical Park Blvd.,,Bristol,TN,37620,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successfully managed COVID patients for several months.,W5931,mark.wilkinson@balladhealth.org,Mark Wilkinson,4233023139,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440012: Acute Hospital Care at Home Waiver Request,penelope.kyte@balladhealth.org,Penni Kyte,4233023427
440063,Johnson City Medical Center,400 N State of Franklin Rd,,Johnson City,TN,37604,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successful management of COVID patients for several months.,W5931,mark.wilkinson@balladhealth.org,Mark Wilkinson,4233023139,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440063: Acute Hospital Care at Home Waiver Request,penelope.kyte@balladhealth.org,Penni Kyte,4233023381
440017,Holston Valley Medical Center,130 W Ravine Rd,,Kingsport,TN,37660,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Successful management of COVID patients at home for several months.,W5931,mark.wilkinson@balladhealth.org,Mark Wilkinson,4233023139,CMO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 440017: Acute Hospital Care at Home Waiver Request,penelope.kyte@balladhealth.org,Penni Kyte,4233023381
340145,Atrium Health Lincoln,433 McAlister Rd,,Lincolnton,NC,28092,980-212-2000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,Scott.Rissmiller@atriumhealth.org,Dr. Scott Rissmiller,704-355-2000,Chief Physician Executive,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340145: Acute Hospital Care at Home Waiver Request,colleen.hole@atriumhealth.org,Colleen Hole,704-796-1531
340021,Atrium Health Cleveland,201 E. Grover St,,Shelby,NC,28150,980-487-3000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,Scott.Rissmiller@atriumhealth.org,Dr. Scott Rissmiller,704-355-2000,Chief Physician Executive,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 340021: Acute Hospital Care at Home Waiver Request,colleen.hole@atriumhealth.org,Colleen Hole,704-796-1531
220100,South Shore Health,55 Fogg Road,,Weymouth,MA,2190,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,W5931,loconnell@southshorehealth.org,Dr. Luke O'Connell,781-624-4087,CCO,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 220100: Acute Hospital Care at Home Waiver Request,klannutti@southshorehealth.org,Dr. Kelly Lannutti,610-999-9661
330136,The Mary Imogene Bassett Hospital,1 Atwell Road,,Cooperstown,NY,13326,6075473100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,CVIQ1,scott.cohen@bassett.org,Scott Cohen MD,6075473446,Chief Medical Information and Innovation Officer,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,CCN 330136: Acute Hospital Care at Home Waiver Request,sara.albright@bassett.org,Sara Albright,6075473318 Ext: 3318
